2017-05-18 22:30:33,2017-05-18 22:30:33,47.55617,-120.55917,30,76,3161.69,"Ti=96/Te=58/P= 69844/V=7988"
2017-05-18 22:30:48,2017-05-18 22:30:48,47.55650,-120.55767,30,66,3208.02,"Ti=96/Te=58/P= 69352/V=7988"
2017-05-18 22:31:03,2017-05-18 22:31:03,47.55667,-120.55617,24,71,3244.29,"Ti=96/Te=57/P= 68950/V=7988"
2017-05-18 22:31:18,2017-05-18 22:31:18,47.55700,-120.55517,17,64,3280.26,"Ti=96/Te=57/P= 68647/V=7988"
2017-05-18 22:31:33,2017-05-18 22:31:33,47.55733,-120.55400,22,81,3315.92,"Ti=96/Te=58/P= 68335/V=7988"
2017-05-18 22:31:48,2017-05-18 22:31:48,47.55733,-120.55283,26,90,3351.28,"Ti=96/Te=57/P= 68040/V=7988"
2017-05-18 22:32:03,2017-05-18 22:32:03,47.55733,-120.55150,24,87,3393.95,"Ti=96/Te=57/P= 67692/V=7988"
2017-05-18 22:32:18,2017-05-18 22:32:18,47.55750,-120.55017,28,93,3429.30,"Ti=96/Te=57/P= 67358/V=7988"
2017-05-18 22:32:33,2017-05-18 22:32:33,47.55767,-120.54883,19,88,3475.02,"Ti=96/Te=56/P= 67042/V=7988"
2017-05-18 22:32:48,2017-05-18 22:32:48,47.55767,-120.54750,22,82,3511.60,"Ti=96/Te=56/P= 66639/V=7988"
2017-05-18 22:33:03,2017-05-18 22:33:03,47.55750,-120.54650,20,110,3556.71,"Ti=96/Te=56/P= 66322/V=7988"
2017-05-18 22:33:18,2017-05-18 22:33:18,47.55733,-120.54533,24,84,3606.70,"Ti=96/Te=55/P= 65927/V=7988"
2017-05-18 22:33:33,2017-05-18 22:33:33,47.55750,-120.54433,24,95,3655.77,"Ti=96/Te=55/P= 65478/V=7988"
2017-05-18 22:33:48,2017-05-18 22:33:48,47.55733,-120.54300,22,110,3692.65,"Ti=96/Te=55/P= 65133/V=7988"
2017-05-18 22:34:03,2017-05-18 22:34:03,47.55733,-120.54183,24,93,3727.40,"Ti=96/Te=56/P= 64832/V=7988"
2017-05-18 22:34:18,2017-05-18 22:34:18,47.55733,-120.54033,28,88,3766.11,"Ti=96/Te=55/P= 64535/V=7988"
